GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,VISIT_AREA_NM,MVMN_NM,DGSTFN
남,30.0,2.0,2.0,2.0,6.0,2.0,3.0,3.0,4.0,2.0,0.0,용두암,자가용,5.0
여,20.0,3.0,3.0,2.0,4.0,3.0,3.0,6.0,6.0,2.0,1.0,홀리데이홀릭,대중교통 등,5.0
여,20.0,2.0,2.0,1.0,3.0,1.0,6.0,2.0,7.0,3.0,3.0,산방식당,자가용,5.0
여,30.0,7.0,1.0,1.0,4.0,7.0,4.0,5.0,6.0,1.0,3.0,제주신라호텔 바당,자가용,3.0
여,40.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,0.0,보래드베이커스,대중교통 등,5.0
남,40.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,5.0,10.0,3.0,담모라리조트펜션,자가용,5.0
여,30.0,4.0,3.0,3.0,4.0,5.0,2.0,6.0,6.0,1.0,0.0,어리목매표소,자가용,5.0
여,20.0,3.0,2.0,2.0,4.0,3.0,4.0,6.0,4.0,1.0,2.0,아트스테이함덕비치,대중교통 등,4.0
여,40.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,6.0,1.0,2.0,삼목선착장,자가용,4.0
여,20.0,5.0,1.0,2.0,5.0,2.0,6.0,6.0,7.0,2.0,1.0,도두동무지개해안도로,대중교통 등,5.0
여,20.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,6.0,6.0,1.0,울산공항,대중교통 등,5.0
여,20.0,2.0,1.0,1.0,6.0,7.0,7.0,1.0,7.0,1.0,1.0,연돈,자가용,2.0
여,20.0,2.0,1.0,1.0,5.0,4.0,3.0,6.0,7.0,3.0,1.0,피즈,대중교통 등,5.0
여,20.0,3.0,3.0,2.0,3.0,6.0,4.0,7.0,4.0,2.0,3.0,드르쿰다in성산,대중교통 등,3.0
남,20.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,2.0,1.0,제주다움렌터카,대중교통 등,4.0
여,30.0,1.0,4.0,3.0,3.0,1.0,3.0,2.0,7.0,1.0,2.0,델문도,대중교통 등,4.0
남,20.0,2.0,2.0,1.0,6.0,6.0,2.0,6.0,5.0,7.0,1.0,플레이스우도,자가용,4.0
여,20.0,1.0,1.0,1.0,4.0,3.0,4.0,7.0,1.0,2.0,2.0,산지해장국,자가용,5.0
여,20.0,4.0,1.0,1.0,5.0,3.0,5.0,3.0,5.0,3.0,1.0,맥도날드 제주노형DT점,대중교통 등,5.0
남,20.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,9.0,3.0,광주공항,대중교통 등,4.0
여,20.0,1.0,3.0,1.0,4.0,3.0,2.0,7.0,5.0,2.0,1.0,제주오광흑돼지,대중교통 등,5.0
여,20.0,3.0,3.0,2.0,3.0,6.0,4.0,7.0,4.0,2.0,3.0,델문도,대중교통 등,3.0
여,50.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,7.0,3.0,4.0,신풍신천 바다목장길,자가용,4.0
여,20.0,7.0,1.0,6.0,4.0,1.0,4.0,4.0,5.0,3.0,1.0,꽁순이네,대중교통 등,4.0
여,20.0,1.0,1.0,7.0,4.0,1.0,7.0,7.0,7.0,3.0,1.0,제주동문재래시장,자가용,4.0
남,40.0,4.0,5.0,2.0,2.0,5.0,4.0,2.0,4.0,3.0,4.0,한라수목원,대중교통 등,2.0
여,30.0,5.0,1.0,2.0,1.0,6.0,3.0,6.0,4.0,2.0,0.0,모든날이행복하기를,대중교통 등,4.0
여,40.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,1.0,0.0,호텔휴안스테이,대중교통 등,3.0
남,30.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,6.0,3.0,3.0,중문대포주상절리대,대중교통 등,5.0
남,40.0,1.0,3.0,4.0,6.0,1.0,3.0,4.0,5.0,4.0,0.0,꽃지해수욕장,대중교통 등,5.0
여,50.0,1.0,1.0,1.0,4.0,7.0,4.0,3.0,7.0,7.0,4.0,신비의도로,자가용,4.0
여,40.0,6.0,1.0,6.0,1.0,1.0,6.0,2.0,6.0,5.0,2.0,국수바다 본점,대중교통 등,5.0
여,20.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,금오름,대중교통 등,5.0
여,20.0,2.0,2.0,2.0,4.0,5.0,3.0,7.0,4.0,1.0,0.0,안녕하샌,대중교통 등,4.0
여,40.0,2.0,7.0,3.0,1.0,1.0,7.0,7.0,7.0,1.0,4.0,오드랑베이커리,대중교통 등,5.0
여,20.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,1.0,협재해수욕장,대중교통 등,5.0
여,20.0,1.0,1.0,1.0,3.0,5.0,6.0,1.0,7.0,3.0,1.0,새별오름,대중교통 등,5.0
여,30.0,2.0,1.0,1.0,3.0,6.0,2.0,2.0,5.0,3.0,3.0,협재해수욕장,자가용,5.0
여,50.0,4.0,2.0,6.0,3.0,2.0,5.0,1.0,6.0,2.0,1.0,김포국제공항 국내선,자가용,4.0
여,20.0,4.0,1.0,3.0,2.0,4.0,5.0,2.0,5.0,1.0,1.0,제주1번가더테라스오피스텔,자가용,5.0
남,30.0,2.0,2.0,1.0,2.0,6.0,4.0,2.0,7.0,1.0,1.0,자매국수 본점,대중교통 등,4.0
여,30.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,0.0,"파인웰스,백숙은 사장님이 그냥주심..공짜",자가용,5.0
여,30.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,김포국제공항 국내선,대중교통 등,5.0
여,20.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,6.0,7.0,1.0,더고집 장림점,자가용,2.0
여,30.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,2.0,1.0,만춘서점,자가용,5.0
남,40.0,6.0,1.0,1.0,2.0,4.0,3.0,2.0,7.0,5.0,1.0,MOT,대중교통 등,3.0
여,20.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,민경이네어등포해녀촌,대중교통 등,3.0
남,30.0,4.0,2.0,2.0,5.0,3.0,5.0,3.0,3.0,2.0,0.0,백약이오름,자가용,4.0
남,40.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,붉은오름자연휴양림,대중교통 등,5.0
여,20.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,2.0,2.0,0.0,키위티24제주남원점,대중교통 등,4.0
여,20.0,4.0,5.0,1.0,5.0,2.0,1.0,5.0,7.0,1.0,0.0,공항역 광주1호선,대중교통 등,4.0
여,20.0,4.0,1.0,2.0,4.0,2.0,2.0,7.0,7.0,9.0,4.0,제주국제공항,대중교통 등,5.0
남,30.0,1.0,1.0,1.0,4.0,2.0,2.0,7.0,4.0,3.0,1.0,커피냅로스터스 제주,자가용,5.0
남,30.0,4.0,4.0,1.0,3.0,6.0,4.0,6.0,6.0,1.0,3.0,도두동무지개해안도로,자가용,5.0
여,20.0,5.0,2.0,1.0,3.0,6.0,5.0,6.0,6.0,1.0,1.0,제주승마장,대중교통 등,5.0
남,30.0,2.0,2.0,3.0,2.0,4.0,6.0,5.0,5.0,1.0,1.0,아침해변펜션,대중교통 등,5.0
여,60.0,7.0,5.0,6.0,4.0,5.0,7.0,6.0,1.0,5.0,1.0,독일마을,자가용,4.0
여,20.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,1.0,느루온,대중교통 등,5.0
여,20.0,2.0,4.0,4.0,6.0,7.0,3.0,6.0,3.0,1.0,0.0,여행가게,자가용,5.0
여,30.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,1.0,구읍뱃터,자가용,4.0
여,40.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,5.0,3.0,4.0,평산제면소,자가용,5.0
여,30.0,6.0,2.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,1.0,한라네김밥,자가용,5.0
여,20.0,6.0,4.0,1.0,6.0,7.0,1.0,1.0,2.0,4.0,0.0,제주 간세 게스트하우스,대중교통 등,3.0
남,30.0,2.0,4.0,2.0,3.0,2.0,3.0,6.0,6.0,1.0,3.0,후프바베큐,대중교통 등,4.0
여,20.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,6.0,7.0,0.0,그린블리스,대중교통 등,3.0
여,20.0,2.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,1.0,1.0,포레스트제이 카우셰드,대중교통 등,4.0
여,20.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,7.0,5.0,탐라렌트카,자가용,5.0
여,40.0,3.0,6.0,2.0,2.0,6.0,2.0,6.0,6.0,2.0,0.0,제주i,자가용,4.0
여,30.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,6.0,1.0,0.0,바다봄,대중교통 등,5.0
여,30.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,2.0,0.0,제주동문재래야시장,대중교통 등,5.0
여,20.0,4.0,1.0,1.0,3.0,5.0,2.0,5.0,6.0,1.0,3.0,제주국제공항,대중교통 등,5.0
남,30.0,7.0,6.0,4.0,4.0,1.0,7.0,6.0,7.0,3.0,1.0,어덜트밤비노,자가용,3.0
여,20.0,1.0,1.0,1.0,4.0,3.0,1.0,7.0,1.0,2.0,0.0,메종글래드제주,대중교통 등,5.0
여,20.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,1.0,스타벅스 서귀포올레점,대중교통 등,4.0
남,30.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,4.0,3.0,1.0,군산공항,대중교통 등,3.0
남,20.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,0.0,호텔 케니 서귀포,대중교통 등,4.0
여,30.0,2.0,2.0,1.0,5.0,6.0,2.0,1.0,7.0,2.0,0.0,여수장도근린공원,자가용,5.0
여,30.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,4.0,1.0,2.0,오징어회타운,자가용,5.0
여,20.0,1.0,2.0,2.0,5.0,4.0,2.0,5.0,5.0,7.0,0.0,호텔제이힐,대중교통 등,4.0
여,30.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,0.0,마루나키친,자가용,4.0
여,40.0,7.0,7.0,7.0,4.0,5.0,5.0,1.0,5.0,3.0,1.0,따라비오름,자가용,5.0
여,30.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,7.0,7.0,0.0,아쿠아플라넷 제주,자가용,5.0
여,20.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,0.0,랜디스도넛 제주애월점,자가용,5.0
남,30.0,2.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,전등사,대중교통 등,3.0
여,20.0,5.0,1.0,4.0,1.0,3.0,5.0,6.0,5.0,3.0,1.0,엄블랑,대중교통 등,5.0
남,30.0,4.0,7.0,2.0,4.0,5.0,2.0,1.0,7.0,9.0,1.0,독도박물관,대중교통 등,5.0
여,20.0,2.0,2.0,1.0,3.0,2.0,4.0,6.0,4.0,1.0,0.0,사계카페,대중교통 등,3.0
여,20.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,1.0,곽지해수욕장 주차장,대중교통 등,4.0
남,20.0,4.0,1.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,뷰제주하늘,대중교통 등,4.0
남,40.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,3.0,헬로키티아일랜드,자가용,3.0
여,40.0,2.0,3.0,2.0,2.0,1.0,2.0,6.0,6.0,1.0,1.0,코코리파이프,자가용,4.0
남,30.0,4.0,3.0,2.0,5.0,6.0,6.0,1.0,7.0,1.0,2.0,목화휴게소,대중교통 등,5.0
여,20.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,0.0,조커피랩,대중교통 등,4.0
여,30.0,2.0,6.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,고인돌체육관,자가용,3.0
여,20.0,7.0,1.0,6.0,4.0,1.0,4.0,4.0,5.0,3.0,1.0,스누피가든,대중교통 등,5.0
남,30.0,3.0,2.0,1.0,3.0,5.0,3.0,2.0,5.0,9.0,3.0,고성오일시장,대중교통 등,2.0
여,20.0,4.0,2.0,1.0,2.0,4.0,2.0,7.0,7.0,2.0,0.0,올래국수 본점,대중교통 등,5.0
여,20.0,1.0,1.0,1.0,4.0,6.0,4.0,1.0,7.0,2.0,0.0,성산일출봉,대중교통 등,5.0
여,40.0,6.0,3.0,5.0,2.0,6.0,6.0,3.0,4.0,1.0,5.0,우생당,자가용,5.0
여,20.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,7.0,1.0,1.0,에로스서각박물관,자가용,4.0
남,50.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,충렬사,자가용,4.0
여,20.0,6.0,4.0,5.0,2.0,6.0,4.0,5.0,5.0,2.0,3.0,담뜨락,대중교통 등,4.0
남,30.0,2.0,6.0,1.0,2.0,1.0,2.0,6.0,4.0,2.0,2.0,늘봄흑돼지,자가용,5.0
여,30.0,1.0,1.0,5.0,7.0,6.0,7.0,7.0,7.0,1.0,1.0,오설록티뮤지엄,대중교통 등,5.0
여,30.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0,5.0,2.0,0.0,"탑동 해안산책로(탑동광장), 산지천",대중교통 등,5.0
여,20.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,7.0,9.0,4.0,라마다프라자 제주호텔,대중교통 등,4.0
여,30.0,6.0,3.0,3.0,3.0,2.0,6.0,3.0,6.0,2.0,1.0,빽다방 제주삼도일동점,대중교통 등,4.0
남,30.0,1.0,4.0,3.0,5.0,6.0,5.0,6.0,6.0,1.0,0.0,송당퐁닭송당퐁당,자가용,5.0
여,20.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,7.0,2.0,1.0,제주국제공항,자가용,3.0
남,30.0,2.0,3.0,3.0,2.0,3.0,6.0,2.0,7.0,3.0,1.0,우도봉수대,대중교통 등,5.0
여,20.0,3.0,1.0,3.0,6.0,5.0,4.0,6.0,3.0,3.0,2.0,도두동무지개해안도로,대중교통 등,4.0
여,40.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,2.0,3.0,편의점,자가용,5.0
남,40.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,1.0,0.0,돌담통닭,대중교통 등,4.0
남,40.0,1.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,1.0,0.0,청주국제공항,대중교통 등,4.0
여,20.0,4.0,2.0,2.0,6.0,6.0,4.0,1.0,7.0,3.0,1.0,모루쿠다,자가용,5.0
여,20.0,4.0,6.0,1.0,2.0,6.0,7.0,7.0,7.0,7.0,1.0,랜디스도넛 제주애월점,대중교통 등,5.0
여,20.0,3.0,1.0,4.0,3.0,3.0,5.0,5.0,3.0,1.0,3.0,숙성도 함덕점,대중교통 등,5.0
여,30.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,1.0,베드라디오 도두봉,대중교통 등,5.0
여,20.0,1.0,4.0,4.0,3.0,3.0,3.0,6.0,6.0,5.0,0.0,통영1박2일펜션,대중교통 등,5.0
남,20.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,정희네해물탕,대중교통 등,3.0
여,20.0,3.0,1.0,1.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,찰리호텔,대중교통 등,5.0
남,30.0,4.0,1.0,3.0,3.0,2.0,5.0,6.0,7.0,5.0,1.0,인생밥집 한림협재본점,대중교통 등,5.0
여,40.0,6.0,4.0,5.0,4.0,6.0,6.0,4.0,3.0,2.0,0.0,호텔케니모슬포,대중교통 등,2.0
여,30.0,3.0,4.0,1.0,2.0,2.0,2.0,5.0,7.0,3.0,1.0,목장카페 밭디,자가용,5.0
여,40.0,1.0,4.0,1.0,6.0,4.0,1.0,7.0,5.0,9.0,6.0,김포국제공항 국내선 도착층,대중교통 등,5.0
여,30.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,6.0,1.0,2.0,제주샹그릴라호텔앤리조트,자가용,2.0
여,20.0,4.0,1.0,1.0,3.0,5.0,7.0,7.0,7.0,3.0,1.0,여수낭만포차거리,대중교통 등,4.0
남,40.0,2.0,3.0,1.0,4.0,6.0,5.0,6.0,6.0,3.0,1.0,한담해안산책로,자가용,5.0
여,40.0,1.0,6.0,1.0,6.0,6.0,2.0,6.0,6.0,4.0,0.0,섬게스트하우스&카페,대중교통 등,1.0
여,40.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,나그네쉼터 어시장수산식당,대중교통 등,4.0
여,30.0,1.0,4.0,1.0,2.0,4.0,4.0,7.0,6.0,3.0,3.0,이승이오름,대중교통 등,5.0
남,30.0,2.0,3.0,2.0,6.0,6.0,3.0,3.0,5.0,6.0,2.0,할리스 김포공항점,대중교통 등,4.0
여,20.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,제주공항렌트카 본사,대중교통 등,4.0
여,30.0,2.0,6.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,나산들공원,자가용,4.0
남,40.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,1.0,2.0,드림편의점,대중교통 등,4.0
여,30.0,3.0,1.0,2.0,3.0,4.0,5.0,7.0,5.0,3.0,1.0,제주국제공항,대중교통 등,4.0
여,30.0,2.0,1.0,6.0,2.0,5.0,5.0,6.0,7.0,1.0,3.0,소노벨 제주,자가용,5.0
여,40.0,4.0,2.0,1.0,5.0,4.0,4.0,1.0,7.0,2.0,0.0,올레길 7코스(서귀포-월평 올레),대중교통 등,4.0
남,30.0,5.0,3.0,2.0,3.0,6.0,5.0,2.0,4.0,1.0,3.0,조각공원,자가용,4.0
여,30.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,석모도자연휴양림,대중교통 등,4.0
여,30.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,3.0,3.0,신화관 제주신화월드호텔앤리조트,자가용,4.0
여,40.0,1.0,2.0,6.0,3.0,2.0,6.0,5.0,2.0,3.0,4.0,제주국제공항,대중교통 등,4.0
여,40.0,3.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,2.0,1.0,오설록티뮤지엄,자가용,4.0
남,40.0,3.0,2.0,1.0,3.0,5.0,3.0,2.0,6.0,2.0,0.0,유동커피,대중교통 등,4.0
여,30.0,4.0,2.0,3.0,6.0,2.0,2.0,6.0,7.0,2.0,1.0,봉기네깡통구이,자가용,5.0
남,30.0,6.0,4.0,2.0,4.0,6.0,6.0,5.0,7.0,3.0,2.0,원앤온리,자가용,5.0
여,30.0,4.0,5.0,2.0,6.0,3.0,2.0,7.0,2.0,7.0,0.0,청산도항,대중교통 등,5.0
남,20.0,3.0,1.0,2.0,3.0,6.0,2.0,5.0,3.0,1.0,1.0,수원한일타운아파트,대중교통 등,4.0
여,20.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0,4.0,2.0,0.0,소심한책방,대중교통 등,5.0
여,40.0,2.0,6.0,4.0,3.0,1.0,5.0,5.0,2.0,1.0,2.0,일품순두부 신시가지점,자가용,5.0
여,30.0,1.0,4.0,1.0,2.0,4.0,4.0,7.0,6.0,3.0,3.0,정희네해물탕,대중교통 등,5.0
여,20.0,4.0,2.0,2.0,5.0,4.0,4.0,1.0,5.0,2.0,1.0,노블피아,대중교통 등,5.0
여,20.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,6.0,3.0,1.0,성산일출봉,대중교통 등,5.0
여,20.0,2.0,3.0,2.0,5.0,5.0,3.0,2.0,6.0,7.0,0.0,무지개렌트카,대중교통 등,5.0
여,30.0,4.0,4.0,3.0,6.0,6.0,4.0,4.0,6.0,3.0,2.0,검멀레해변,대중교통 등,3.0
남,40.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0,월정리해수욕장,대중교통 등,4.0
남,50.0,2.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,9.0,1.0,문경휴게소 양평방향,자가용,4.0
남,30.0,6.0,4.0,2.0,4.0,6.0,6.0,5.0,7.0,3.0,2.0,제주국제공항,자가용,5.0
여,30.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,7.0,8.0,2.0,퍼시픽리솜 더클리프카페&펍,자가용,1.0
여,50.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,6.0,3.0,2.0,화순항관리사무소,자가용,5.0
여,30.0,4.0,2.0,2.0,5.0,1.0,5.0,2.0,1.0,2.0,0.0,그라벨호텔제주,대중교통 등,5.0
여,20.0,6.0,1.0,2.0,3.0,1.0,6.0,1.0,7.0,2.0,1.0,산도롱맨도롱 제주공항점,대중교통 등,4.0
여,20.0,3.0,2.0,1.0,4.0,2.0,6.0,3.0,6.0,2.0,1.0,제주국제공항,대중교통 등,4.0
남,20.0,3.0,1.0,1.0,5.0,1.0,4.0,7.0,5.0,2.0,1.0,성산스테이션,대중교통 등,5.0
남,40.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,더스테이센추리호텔,대중교통 등,5.0
남,30.0,1.0,1.0,1.0,5.0,1.0,7.0,1.0,7.0,2.0,6.0,캠퍼트리 호텔앤리조트,자가용,5.0
여,30.0,4.0,4.0,2.0,2.0,6.0,4.0,6.0,7.0,1.0,0.0,나인브로스커피,대중교통 등,5.0
여,30.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,2.0,0.0,제주동문재래시장,대중교통 등,5.0
